Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
24-08-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,11.8,39,65
14-09-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.8,11.3,34,58
15-09-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,14,38,65
19-09-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7,13,48,83
20-09-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,11.3,43,74
26-09-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.8,10.5,32,52
27-09-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,11.3,31,62
10/3/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.8,10.8,36,58
10/4/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,12.5,34,55
10/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,12.3,40,86
10/11/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,12,74,109
19-10-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,9.1,69,106
20-10-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.3,8,86,154
24-10-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,10.8,70,106
25-10-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,12,82,121
29-10-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,2.5,7,30,69
30-10-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3,6.8,45,69
11/1/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,2.5,7,46,84
11/9/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,10.1,184,209
11/10/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,11.8,157,205
13-11-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.3,7.3,64,94
14-11-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,10.5,55,100
20-11-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,10.8,26,48
23-11-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,13.3,33,61
27-11-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,12.8,60,92
30-11-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.8,14.3,111,140
