Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
141,May - M052001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",17.1,34.5,NA,367
141,June - M062001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",12.9,32.5,NA,168
141,July - M072001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",11.1,31.2,NA,84
141,August - M082001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",10.6,28,NA,118
141,September - M092001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",11.2,30.3,NA,230
141,October - M102001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",12.2,31.3,NA,309
141,November - M112001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",14.8,29.5,NA,394
141,December - M122001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",12.6,31.2,NA,424
142,January - M012001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",21.6,37.8,NA,409
142,February - M022001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",22.4,38.2,NA,574
142,March - M032001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",20.7,42,NA,420
142,April - M042001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",14.8,36.2,NA,423
142,May - M052001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",17.4,37.1,NA,424
142,June - M062001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",15,34.1,NA,338
142,July - M072001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",13.1,32.2,NA,240
142,August - M082001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",12.3,32.6,NA,293
142,September - M092001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",12.6,32.1,NA,364
142,October - M102001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",14.4,33.5,NA,449
142,November - M112001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",16.8,37.7,NA,568
142,December - M122001,Uttar Pradesh,Kanpur,NA,"Residential, Rural and other Areas",15.6,37.2,NA,491
143,January - M012001,Uttar Pradesh,Kanpur,NA,Industrial Area,21.4,43.7,NA,491
143,February - M022001,Uttar Pradesh,Kanpur,NA,Industrial Area,20.6,43.4,NA,574
143,March - M032001,Uttar Pradesh,Kanpur,NA,Industrial Area,19.8,39.8,NA,507
143,April - M042001,Uttar Pradesh,Kanpur,NA,Industrial Area,13.4,37.3,NA,522
143,May - M052001,Uttar Pradesh,Kanpur,NA,Industrial Area,16.4,36.7,NA,533
143,June - M062001,Uttar Pradesh,Kanpur,NA,Industrial Area,13.9,35.2,NA,272
143,July - M072001,Uttar Pradesh,Kanpur,NA,Industrial Area,12.4,32.8,NA,218
143,August - M082001,Uttar Pradesh,Kanpur,NA,Industrial Area,11.9,30.4,NA,277
143,September - M092001,Uttar Pradesh,Kanpur,NA,Industrial Area,12.5,32.4,NA,353
143,October - M102001,Uttar Pradesh,Kanpur,NA,Industrial Area,13.5,32.9,NA,566
143,November - M112001,Uttar Pradesh,Kanpur,NA,Industrial Area,17.4,36.3,NA,811
143,December - M122001,Uttar Pradesh,Kanpur,NA,Industrial Area,14.4,35.1,NA,710
192,January - M012001,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,NA,14.2,17.9,NA,611
192,February - M022001,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,NA,14.5,15.1,NA,632
192,March - M032001,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,NA,11.9,12.6,NA,624
192,April - M042001,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,NA,11.5,15.9,NA,587
192,May - M052001,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,NA,10.8,12,NA,610
192,June - M062001,Uttar Pradesh,Varanasi,Uttar Pradesh  Pollution Control Board,NA,11.2,10.5,NA,623
