ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications with Aadhaar Number,RPO Cochin,Count of Applications,10291,40491,274512,08-07-18
Applications - Education Wise,RPO Cochin,10TH PASS AND ABOVE,4970,20446,125163,08-07-18
Applications - Education Wise,RPO Cochin,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Cochin,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Cochin,GRADUATE AND ABOVE,2502,10021,61904,08-07-18
Applications - Age Wise Wise,RPO Cochin,Between_18_to_35,5480,22938,133225,08-07-18
Applications - Age Wise Wise,RPO Cochin,Between_36_to_60,2699,9552,71838,08-07-18
Applications - Age Wise Wise,RPO Cochin,GreaterThan60,786,2900,23724,08-07-18
Applications - Age Wise Wise,RPO Cochin,LessThan18,1326,5101,45725,08-07-18
Application Fee Online Payment - Mode Wise,RPO Cochin,Challan,362150,1145450,8867950,08-07-18
Application Fee Online Payment - Mode Wise,RPO Cochin,Credit/ Debit Card,3950250,16936550,106460050,08-07-18
Application Fee Online Payment - Mode Wise,RPO Cochin,Online,8054450,30897950,203078950,08-07-18
Applications Received - Service Wise,RPO Cochin,FRESH,5703,22487,146490,08-07-18
Applications Received - Service Wise,RPO Cochin,PCC,859,3398,24924,08-07-18
Applications Received - Service Wise,RPO Cochin,REISSUE,3728,14596,103057,08-07-18
Applications Granted - PV Mode wise,RPO Cochin,No Verification,2668,10640,82628,08-07-18
Applications Granted - PV Mode wise,RPO Cochin,Post Verification,1972,7618,52842,08-07-18
Applications Granted - PV Mode wise,RPO Cochin,Pre Verification,5169,20587,131413,08-07-18
PV Processing Time,RPO Cochin,More than 21 Days,1718,1883,8872,08-07-18
PV Processing Time,RPO Cochin,Within 21 Days,5173,20691,135721,08-07-18
Applications Received - Scheme wise,RPO Coimbatore,Normal,3740,15191,98241,08-07-18
Applications Received - Scheme wise,RPO Coimbatore,Tatkaal,54,216,936,08-07-18
Applications Received - Gender wise,RPO Coimbatore,FEMALE,1327,5551,38149,08-07-18
Applications Received - Gender wise,RPO Coimbatore,MALE,2467,9853,61025,08-07-18
Applications Received - Gender wise,RPO Coimbatore,TRANSGENDER,0,2,2,08-07-18
Applications with Aadhaar Number,RPO Coimbatore,Count of Applications,3794,15406,99176,08-07-18
Applications - Education Wise,RPO Coimbatore,10TH PASS AND ABOVE,1058,4750,30048,08-07-18
Applications - Education Wise,RPO Coimbatore,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Coimbatore,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Coimbatore,GRADUATE AND ABOVE,1713,6950,40784,08-07-18
Applications - Age Wise Wise,RPO Coimbatore,Between_18_to_35,2127,8799,51197,08-07-18
Applications - Age Wise Wise,RPO Coimbatore,Between_36_to_60,1032,4070,28016,08-07-18
Applications - Age Wise Wise,RPO Coimbatore,GreaterThan60,240,996,7179,08-07-18
Applications - Age Wise Wise,RPO Coimbatore,LessThan18,395,1541,12784,08-07-18
Application Fee Online Payment - Mode Wise,RPO Coimbatore,Challan,105550,439600,2933550,08-07-18
Application Fee Online Payment - Mode Wise,RPO Coimbatore,Credit/ Debit Card,1977850,9154100,57983050,08-07-18
